j,i,lat,lon,THETA_W850,THETA_E850,GPH850,GPH500,SLP,T2C,RH2,U10M,V10M,TC1000,RH1000,U1000,V1000,TC975,RH975,U975,V975,TC950,RH950,U950,V950,TC925,RH925,U925,V925,TC850,RH850,U850,V850,TC700,RH700,U700,V700,TC500,RH500,U500,V500,TC300,RH300,U300,V300,label
114,130,40.44542,-0.6136318,nan,nan,nan,545.31726,998.8396,1.4933419,99.49688,3.2982335,-3.441393,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.35344,98.858116,1.4399177,-3.1213613,-22.498423,47.08085,1.6480694,-0.49348983,-46.962955,19.115013,3.800013,6.6213226,5
115,130,40.55771,-0.6136318,nan,nan,nan,545.353,999.0083,1.6887951,99.460045,4.1127133,-3.2507088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.4183955,98.536026,2.0214806,-3.7813854,-22.528214,47.071632,1.2035964,-0.63921094,-46.928596,18.561022,3.4398098,6.8825927,5
111,131,40.10855,-0.44914567,3.4704392,33.377033,133.40775,546.00604,998.36884,5.953653,84.23087,3.262837,-5.015467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0014806,80.96362,1.5309377,-10.1736355,-5.391576,94.102234,2.255812,-1.9948288,-22.727865,51.133568,3.1771972,1.7650734,-46.939537,18.454504,4.7611785,7.5521235,5
112,131,40.22084,-0.44914567,3.0789664,32.49871,133.47961,545.7991,998.45135,4.487383,90.699455,3.13244,-4.5759606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.941042,89.1765,3.9736495,-9.7967005,-5.391813,96.92261,1.8554263,-1.8167387,-22.658693,48.99553,2.6216643,1.7426093,-46.951897,18.259304,4.3916616,7.754564,5
113,131,40.33313,-0.44914567,nan,nan,nan,545.5825,998.49274,2.9355483,97.78092,3.280616,-3.960337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.386642,100.0,1.7418504,-1.5647402,-22.599392,47.517113,1.9197099,1.6359935,-46.959427,17.880829,4.0395045,8.003253,5
114,131,40.44542,-0.44914567,nan,nan,nan,545.49133,998.58215,2.353726,99.61631,3.5633323,-3.4928358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.301629,98.833305,2.0311396,-1.7649535,-22.556742,45.301773,1.4130132,1.4709935,-46.93116,17.50375,3.6670158,8.27744,5
115,131,40.55771,-0.44914567,nan,nan,nan,545.546,998.7169,2.3601391,99.606705,4.3419538,-3.0706093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.1917353,96.35889,2.639759,-1.7901872,-22.558374,43.735878,0.7568214,1.3986037,-46.885895,17.115437,3.3064728,8.594744,5
116,131,40.67,-0.44914567,nan,nan,nan,545.65173,998.89,2.9657974,99.633514,4.896922,-2.8279245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.164329,95.345314,3.1075242,-1.8509719,-22.580418,42.71223,0.24404879,1.4267907,-46.830864,16.686249,2.935377,8.902487,5
117,131,40.782288,-0.44914567,nan,nan,nan,545.82263,999.0866,4.1195855,99.71404,5.1912417,-2.6573038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.1339517,94.776665,3.4372923,-1.61569,-22.609686,41.454437,-0.22526012,1.6023355,-46.759537,16.300179,2.5526946,9.229423,5
108,132,39.771683,-0.28465956,3.2133372,32.800076,133.29613,546.3306,997.80194,9.754933,72.92302,3.2124758,-3.2594213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.379948,63.869366,0.5433511,-9.71773,5.127284,76.08312,-0.30436647,-0.62657475,-4.9722834,74.89274,4.132445,-0.7739886,-22.653982,45.036095,4.838477,2.813475,-46.787476,17.358316,5.8247437,8.764923,5
109,132,39.883972,-0.28465956,3.21441,32.79843,133.28577,546.2946,997.84235,9.537719,72.52665,2.7450678,-3.8965454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.316846,64.86396,2.1389635,-11.597345,5.1357636,75.999886,-0.92794335,-0.93958277,-5.0667305,79.94114,3.4635067,-1.5135342,-22.689404,45.849895,4.4615273,3.054136,-46.814743,17.42832,5.373784,8.876036,5
110,132,39.99626,-0.28465956,3.2560053,32.889824,133.27866,546.25586,997.9038,8.961936,73.92441,2.675549,-4.512411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.140186,76.46789,-1.1088871,-1.7555075,-5.1518354,84.36792,2.944451,-1.9637674,-22.714806,46.38862,4.0333285,3.245996,-46.844307,17.545511,4.928006,9.030434,5
111,132,40.10855,-0.28465956,3.4206934,33.262215,133.29808,546.14703,998.05914,7.6383195,79.156586,3.0030105,-4.8345537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.168255,78.19802,0.58877105,-5.261698,-5.208755,87.535866,2.6815422,-1.5865153,-22.696156,45.83942,3.4799519,3.3591847,-46.87782,17.597515,4.528314,9.228726,5
112,132,40.22084,-0.28465956,3.5577054,33.5707,133.28427,546.044,998.1965,6.289201,84.953545,3.4245188,-5.048766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0882206,80.88284,2.508766,-8.801245,-5.2443676,90.91389,2.6312459,-1.2275336,-22.689617,45.580276,2.8939948,3.412107,-46.895405,17.605528,4.1495714,9.458652,5
113,132,40.33313,-0.28465956,3.2523463,32.884712,133.32869,545.8601,998.24225,4.78087,92.046135,3.7402365,-4.5896125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0993814,89.3687,4.358065,-8.240588,-5.231074,93.82521,2.5944648,-0.9122737,-22.642492,44.41869,2.2030125,3.2900999,-46.900723,17.502502,3.785812,9.731245,5
114,132,40.44542,-0.28465956,2.95119,32.208115,133.38602,545.7215,998.3148,3.5730224,98.06897,4.0337334,-3.95207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.1513073,97.4719,5.9812274,-7.9389653,-5.1600585,95.1919,2.6604812,-0.6816775,-22.609617,43.376194,1.523872,3.216153,-46.886635,17.399843,3.432413,10.003885,5
115,132,40.55771,-0.28465956,2.9156609,32.126373,133.4016,545.7501,998.45306,3.3473775,99.67294,4.6365314,-3.3717496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9215486,100.0,7.1843977,-9.15829,-5.0031285,92.81288,3.190079,-0.6825484,-22.61844,42.37122,0.90387976,3.1755946,-46.832706,17.295685,3.0798361,10.312367,5
116,132,40.67,-0.28465956,2.9076157,32.107685,133.38766,545.82684,998.59686,3.6325471,99.57279,5.1464653,-2.8034286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9180949,100.0,7.8821034,-9.552056,-4.88121,90.19207,3.617068,-0.7123738,-22.609426,40.797913,0.33648956,3.189656,-46.780857,17.29504,2.694275,10.625122,5
117,132,40.782288,-0.28465956,2.8045928,31.880089,133.35228,545.9533,998.77094,4.534936,99.39954,5.215051,-2.1055527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.817288,100.0,7.9896092,-9.890166,-4.802788,88.6778,3.7657144,-0.6788738,-22.597122,39.333603,-0.13123049,3.3971736,-46.71901,17.41573,2.2904563,10.920458,5
118,132,40.894577,-0.28465956,2.8143375,31.905323,133.29732,546.086,998.8927,5.7039533,98.58984,5.5431576,-1.8637363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8281355,100.0,8.049,-10.850803,-4.756167,88.09301,3.936984,-0.64723504,-22.591738,37.908047,-0.52482104,3.569692,-46.672012,17.562597,1.8664386,11.241135,5
106,133,39.547104,-0.12017345,3.1344244,32.63687,133.38545,546.4967,997.98285,14.583532,71.31301,7.9306436,-2.9979396,nan,nan,nan,nan,12.305943,66.73395,9.303818,-5.4161205,10.886467,67.77311,8.063445,-7.225294,9.639419,68.74437,4.766213,-6.9261394,5.0579286,75.9548,2.5008,-0.138973,-4.9365053,68.00453,5.9823966,1.8360983,-22.40537,34.24542,5.5740957,4.2185163,-46.708984,17.851519,6.7700796,10.285578,5
107,133,39.659393,-0.12017345,3.1614664,32.696064,133.3389,546.42206,997.83356,14.148457,69.81992,5.348513,-3.4873428,nan,nan,nan,nan,12.398149,65.078026,6.4960546,-6.3759384,11.255142,64.868935,4.704177,-7.7853827,9.918675,66.91461,1.8035334,-6.4460464,5.173682,74.980896,1.7656322,0.15406477,-4.892506,68.37174,5.0707726,1.1473306,-22.461773,36.221466,5.306521,4.2298164,-46.73597,17.87383,6.129272,10.353208,5
108,133,39.771683,-0.12017345,3.1600542,32.68668,133.25645,546.38477,997.6415,12.4776745,69.6699,3.0905404,-3.4794085,nan,nan,nan,nan,12.126498,64.84009,4.109774,-6.1573925,11.560344,63.059795,2.7863846,-8.882683,10.270401,65.17813,-0.72001076,-6.174033,5.3227243,73.22463,0.9044807,0.6736963,-4.843417,69.30455,4.1861053,0.3239413,-22.523674,38.292587,5.0049033,4.4060755,-46.77908,18.159033,5.5564833,10.4211645,5
109,133,39.883972,-0.12017345,3.1454403,32.647545,133.24565,546.35077,997.60895,11.64117,66.21826,2.4248438,-3.6475449,nan,nan,nan,nan,11.952317,63.478798,3.9473336,-6.48212,11.909345,60.83116,3.0421298,-10.05369,10.56321,63.647057,-1.0527209,-6.301425,5.2395344,73.96532,0.4628486,0.41438133,-4.821761,70.095505,3.5574796,0.06403769,-22.559528,39.132282,4.6477766,4.527316,-46.804764,18.168863,5.041621,10.584067,5
110,133,39.99626,-0.12017345,3.1653802,32.689297,133.2352,546.32074,997.65265,11.198682,66.6382,2.2273831,-4.280506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.446441,64.964485,0.9309057,-8.178471,5.2386727,74.222786,-0.0055185976,-0.012150422,-4.9055243,74.547585,2.9819694,-0.5050478,-22.5914,39.844444,4.243968,4.7311215,-46.83386,18.29243,4.585014,10.728459,5
111,133,40.10855,-0.12017345,3.2560217,32.89492,133.21585,546.3088,997.71875,9.543526,73.2293,3.2376983,-4.916951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.106381,68.10903,4.851943,-11.116724,5.185971,75.951866,0.23407377,-0.6584998,-4.987779,78.13744,2.8545349,-0.58657056,-22.618864,40.151627,3.7246518,4.807589,-46.85694,18.340796,4.1656837,10.991591,5
112,133,40.22084,-0.12017345,3.3816857,33.178528,133.20421,546.23376,997.8358,8.101,79.209915,3.833622,-5.276895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.1272817,78.223145,1.5984937,-3.2826617,-5.0405955,81.55746,2.7548919,-0.36421046,-22.62161,40.036724,3.1635268,4.875028,-46.87813,18.366703,3.7716866,11.228252,5
113,133,40.33313,-0.12017345,3.459854,33.351135,133.11975,546.1432,997.93475,6.6976576,86.20768,4.4550896,-5.2616286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.817403,82.9378,3.9912128,-6.8931293,-5.0309043,85.38216,3.1566443,-0.0440745,-22.640821,40.39429,2.508299,4.7998137,-46.86186,18.281185,3.4374847,11.5254345,5
114,133,40.44542,-0.12017345,3.3912966,33.195263,133.09294,546.04266,998.0286,5.4282417,92.62016,4.9447145,-4.9699645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.267157,88.896675,6.0410523,-9.031927,-4.986241,87.953255,3.44762,0.22492464,-22.642519,40.23026,1.8460524,4.734351,-46.842693,18.18907,3.0978127,11.813081,5
